age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,target
39.0,7,9,13.0,4,1,1,4,1,2174.0,0.0,40.0,1
50.0,6,9,13.0,2,4,0,4,1,0.0,0.0,13.0,1
38.0,4,11,9.0,0,6,1,4,1,0.0,0.0,40.0,1
53.0,4,1,7.0,2,6,0,2,1,0.0,0.0,40.0,1
28.0,4,9,13.0,2,10,5,2,0,0.0,0.0,40.0,1
37.0,4,12,14.0,2,4,5,4,0,0.0,0.0,40.0,1
49.0,4,6,5.0,3,8,1,2,0,0.0,0.0,16.0,1
52.0,6,11,9.0,2,4,0,4,1,0.0,0.0,45.0,0
31.0,4,12,14.0,4,10,1,4,0,14084.0,0.0,50.0,0
42.0,4,9,13.0,2,4,0,4,1,5178.0,0.0,40.0,0
37.0,4,15,10.0,2,4,0,2,1,0.0,0.0,80.0,0
30.0,7,9,13.0,2,10,0,1,1,0.0,0.0,40.0,0
23.0,4,9,13.0,4,1,3,4,0,0.0,0.0,30.0,1
32.0,4,7,12.0,4,12,1,2,1,0.0,0.0,50.0,1
40.0,4,8,11.0,2,3,0,1,1,0.0,0.0,40.0,0
34.0,4,5,4.0,2,14,0,0,1,0.0,0.0,45.0,1
25.0,6,11,9.0,4,5,3,4,1,0.0,0.0,35.0,1
32.0,4,11,9.0,4,7,4,4,1,0.0,0.0,40.0,1
38.0,4,1,7.0,2,12,0,4,1,0.0,0.0,50.0,1
43.0,6,12,14.0,0,4,4,4,0,0.0,0.0,45.0,0
40.0,4,10,16.0,2,10,0,4,1,0.0,0.0,60.0,0
54.0,4,11,9.0,5,8,4,2,0,0.0,0.0,20.0,1
35.0,1,6,5.0,2,5,0,2,1,0.0,0.0,40.0,1
43.0,4,1,7.0,2,14,0,4,1,0.0,2042.0,40.0,1
59.0,4,11,9.0,0,13,4,4,0,0.0,0.0,40.0,1
56.0,2,9,13.0,2,13,0,4,1,0.0,0.0,40.0,0
19.0,4,11,9.0,4,3,3,4,1,0.0,0.0,40.0,1
54.0,0,15,10.0,2,0,0,1,1,0.0,0.0,60.0,0
39.0,4,11,9.0,0,4,1,4,1,0.0,0.0,80.0,1
49.0,4,11,9.0,2,3,0,4,1,0.0,0.0,40.0,1
23.0,2,7,12.0,4,11,1,4,1,0.0,0.0,52.0,1
20.0,4,15,10.0,4,12,3,2,1,0.0,0.0,44.0,1
45.0,4,9,13.0,0,4,3,4,1,0.0,1408.0,40.0,1
30.0,1,15,10.0,2,1,3,4,1,0.0,0.0,40.0,1
22.0,7,15,10.0,2,8,0,2,1,0.0,0.0,15.0,1
48.0,4,1,7.0,4,7,4,4,1,0.0,0.0,40.0,1
21.0,4,15,10.0,4,7,3,4,1,0.0,0.0,40.0,1
19.0,4,11,9.0,1,1,5,4,0,0.0,0.0,25.0,1
31.0,4,15,10.0,2,12,0,4,1,0.0,0.0,38.0,0
48.0,6,7,12.0,2,10,0,4,1,0.0,0.0,40.0,1
31.0,4,6,5.0,2,7,0,4,1,0.0,0.0,43.0,1
53.0,6,9,13.0,2,10,0,4,1,0.0,0.0,40.0,1
24.0,4,9,13.0,2,13,0,4,1,0.0,0.0,50.0,1
49.0,4,11,9.0,5,1,4,4,0,0.0,0.0,40.0,1
25.0,4,11,9.0,4,6,1,4,1,0.0,0.0,35.0,1
57.0,1,9,13.0,2,10,0,2,1,0.0,0.0,40.0,0
53.0,4,11,9.0,2,7,0,4,1,0.0,0.0,38.0,1
44.0,4,12,14.0,0,4,4,4,0,0.0,0.0,40.0,1
41.0,7,8,11.0,2,3,0,4,1,0.0,0.0,40.0,1
29.0,4,8,11.0,4,10,1,4,1,0.0,0.0,43.0,1
25.0,4,15,10.0,2,4,5,3,0,0.0,0.0,40.0,1
18.0,4,11,9.0,4,8,3,4,0,0.0,0.0,30.0,1
47.0,4,14,15.0,2,10,5,4,0,0.0,1902.0,60.0,0
50.0,1,9,13.0,0,4,1,4,1,0.0,0.0,55.0,0
47.0,5,11,9.0,0,4,1,4,1,0.0,0.0,60.0,1
43.0,4,15,10.0,2,13,0,4,1,0.0,0.0,40.0,0
46.0,4,4,3.0,2,7,0,4,1,0.0,0.0,40.0,1
35.0,4,8,11.0,2,8,0,4,1,0.0,0.0,40.0,1
41.0,4,11,9.0,2,1,0,4,1,0.0,0.0,48.0,1
30.0,4,11,9.0,2,7,0,4,1,5013.0,0.0,40.0,1
30.0,4,9,13.0,2,12,0,4,1,2407.0,0.0,40.0,1
32.0,0,5,4.0,3,0,1,4,1,0.0,0.0,40.0,1
48.0,4,11,9.0,2,14,0,4,1,0.0,0.0,40.0,1
